y=1.84211e-08;u=5
y=23.1855;u=257.256
y=22.3235;u=242.937
y=21.2609;u=226.685
y=20.0415;u=208.735
y=18.6602;u=200.977
y=17.1415;u=197.717
y=16.6694;u=199.042
y=16.4378;u=201.616
y=16.6166;u=207.848
y=16.8383;u=216.315
y=17.4172;u=227.814
y=18.1481;u=241.047
y=19.1518;u=256.53
y=20.2743;u=273.584
y=21.5982;u=286.585
y=23.0387;u=292.084
y=24.0507;u=293.151
y=24.3983;u=291.205
y=24.4354;u=286.873
y=24.2334;u=279.536
y=23.8406;u=269.606
y=23.1855;u=257.256
y=22.3235;u=242.937
y=21.2609;u=226.685
y=20.0415;u=208.735
y=18.6602;u=200.977
y=17.1415;u=197.717
y=16.6694;u=199.042
y=16.4378;u=201.616
y=16.6166;u=207.848
y=16.8383;u=216.315
y=17.4172;u=227.814
y=18.1481;u=241.047
y=19.1518;u=256.53
y=20.2743;u=273.584
y=21.5982;u=286.585
y=23.0387;u=292.084
y=24.0507;u=293.151
y=24.3983;u=291.205
y=24.4354;u=286.873
y=24.2334;u=279.536
y=23.8406;u=269.606
y=23.1855;u=257.256
y=22.3235;u=242.937
y=21.2609;u=226.685
y=20.0415;u=208.735
y=18.6602;u=200.977
y=17.1415;u=197.717
y=16.6694;u=199.042
y=16.4378;u=201.616
y=16.6166;u=207.848
y=16.8383;u=216.315
y=17.4172;u=227.814
y=18.1481;u=241.047
y=19.1518;u=256.53
y=20.2743;u=273.584
y=21.5982;u=286.585
y=23.0387;u=292.084
y=24.0507;u=293.151
y=24.3983;u=291.205
y=24.4354;u=286.873
y=24.2334;u=279.536
y=23.8406;u=269.606
y=23.1855;u=257.256
y=22.3235;u=242.937
y=21.2609;u=226.685
y=20.0415;u=208.735
y=18.6602;u=200.977
y=17.1415;u=197.717
y=16.6694;u=199.042
y=16.4378;u=201.616
y=16.6166;u=207.848
y=16.8383;u=216.315
y=17.4172;u=227.814
y=18.1481;u=241.047
y=19.1518;u=256.53
y=20.2743;u=273.584
y=21.5982;u=286.585
y=23.0387;u=292.084
y=24.0507;u=293.151
y=24.3983;u=291.205
y=24.4354;u=286.873
y=24.2334;u=279.536
y=23.8406;u=269.606
y=23.1855;u=257.256
y=22.3235;u=242.937
y=21.2609;u=226.685
y=20.0415;u=208.735
y=18.6602;u=200.977
y=17.1415;u=197.717
y=16.6694;u=199.042
y=16.4378;u=201.616
y=16.6166;u=207.848
y=16.8383;u=216.315
y=17.4172;u=227.814
y=18.1481;u=241.047
y=19.1518;u=256.53
y=20.2743;u=273.584
y=21.5982;u=286.585
y=23.0387;u=292.084
y=24.0507;u=293.151
y=24.3983;u=291.205
y=24.4354;u=286.873
y=24.2334;u=279.536
y=23.8406;u=269.606
y=23.1855;u=257.256
y=22.3235;u=242.937
y=21.2609;u=226.685
y=20.0415;u=208.735
y=18.6602;u=200.977
y=17.1415;u=197.717
y=16.6694;u=199.042
y=16.4378;u=201.616
y=16.6166;u=207.848
y=16.8383;u=216.315
y=17.4172;u=224.887
y=18.1481;u=202.155
y=18.8591;u=232.068
y=16.4437;u=235.569
y=19.918;u=288.431
y=19.5733;u=301.127
y=24.9284;u=278.208
y=25.127;u=263.359
y=22.7953;u=252.127
y=21.7769;u=241.621
y=20.8573;u=262.866
y=19.9907;u=233.841
y=22.2885;u=225.012
y=18.9264;u=196.202
y=18.7159;u=145.613
y=15.877;u=157.045
y=11.3859;u=187.938
y=13.4273;u=181.13
y=16.1083;u=185.665
y=14.8914;u=195.504
y=15.5882;u=219.685
y=16.4327;u=190.194
y=18.682;u=208.852
y=15.283;u=215.587
y=17.8286;u=250.244
y=17.993;u=272.503
y=21.4258;u=302.148
y=22.9652;u=247.231
y=25.6218;u=238.507
y=19.5988;u=221.242
y=19.9309;u=266.335
y=18.138;u=213.43
y=23.0059;u=254.191
y=16.7419;u=228.282
y=22.0708;u=245.244
y=18.4141;u=178.751
y=20.8416;u=151.647
y=13.7067;u=162.529
y=12.4234;u=184.688
y=13.7682;u=190.855
y=15.7151;u=230.228
y=15.9424;u=240.015
y=19.8343;u=243.489
y=20.0346;u=226.31
y=20.342;u=246.761
y=18.5626;u=260.483
y=20.9636;u=291.553
y=21.8556;u=276.349
y=24.7842;u=273.325
y=22.6781;u=300.36
y=22.7969;u=284.378
y=25.4766;u=267.359
y=23.3424;u=257.008
y=22.0674;u=249.148
y=21.2873;u=204.373
y=20.6573;u=220.191
y=16.3058;u=201.268
y=18.7579;u=164.728
y=16.3752;u=138.064
y=13.1978;u=168.29
y=11.1668;u=205.989
y=14.5956;u=204.617
y=17.6797;u=172.611
y=16.9257;u=189.688
y=13.876;u=209.976
y=16.1936;u=257.541
y=17.7589;u=270.707
y=22.2023;u=250.751
y=22.6302;u=255.007
y=20.5491;u=297.081
y=21.3909;u=280.729
y=25.4299;u=297.28
y=22.9869;u=278.203
y=25.1307;u=269.084
y=22.7942;u=246.918
y=22.3496;u=243.495
y=20.2219;u=220.182
y=20.3051;u=237.667
y=17.9572;u=211.619
y=20.1753;u=231.444
y=17.1269;u=200.088
y=19.719;u=244.827
y=16.065;u=211.801
y=21.2697;u=274.106
y=16.9261;u=276.424
y=24.0253;u=311.186
y=22.8373;u=292.303
y=26.5511;u=315.091
y=23.92;u=324.673
y=26.7251;u=352.336
y=27.1223;u=370.544
y=29.8091;u=354.486
y=31.0926;u=354.905
y=29.2301;u=326.761
y=29.6445;u=300.463
y=26.7472;u=299.003
y=24.6968;u=255.893
y=24.9609;u=243.792
y=20.5971;u=193.408
y=20.2598;u=195.155
y=15.2888;u=185.223
y=16.4578;u=221.536
y=15.2307;u=192.67
y=19.1075;u=221.783
y=15.4455;u=214.023
